3,180,1,2020,4,2,19,02,55,263568400,-801486300,0000,25.4,1020.62
3,180,1,2020,4,2,19,03,00,263568400,-801486300,10000,25.4,1020.62
3,180,1,2020,4,2,19,03,10,263569200,-801486100,20000,25.4,1020.62
3,180,5,2020,4,2,19,03,20,263570000,-801486400,30000,25.4,1020.62
3,180,1,2020,4,2,19,03,30,263570300,-801481500,40000,25.4,1020.62
3,180,1,2020,4,2,19,03,40,263570500,-801472400,50000,25.4,1020.62
3,180,1,2020,4,2,19,03,50,263570600,-801463000,60000,25.4,1020.62
3,180,1,2020,4,2,19,04,00,263567100,-801459700,65000,25.4,1020.62
3,180,1,2020,4,2,19,04,10,263559500,-801461700,70000,25.4,1020.62
3,180,1,2020,4,2,19,04,20,263556800,-801459800,65000,25.4,1020.62
3,180,1,2020,4,2,19,04,30,263555900,-801449900,68000,25.4,1020.62
3,180,1,2020,4,2,19,04,40,263556400,-801438900,72000,25.4,1020.62
3,180,1,2020,4,2,19,04,50,263558200,-801427300,76000,25.4,1020.62
3,180,1,2020,4,2,19,05,00,263560300,-801416900,79000,25.4,1020.62
3,180,1,2020,4,2,19,05,10,263562300,-801405300,62000,25.4,1020.62
3,180,1,2020,4,2,19,05,20,263562300,-801393100,31000,25.4,1020.62
3,180,1,2020,4,2,19,05,30,263556700,-801384100,14000,25.4,1020.62
3,180,1,2020,4,2,19,05,40,263547800,-801380600,7000,25.4,1020.62
3,180,1,2020,4,2,19,05,50,263542400,-801380700,0000,25.4,1020.62
3,180,1,2020,4,2,19,06,00,263542400,-801380800,0000,25.4,1020.62
3,180,1,2020,4,2,19,06,10,263542400,-801380800,0000,25.4,1020.62
3,180,1,2020,4,2,19,06,20,263542400,-801380800,0000,25.4,1020.62
3,180,1,2020,4,2,19,06,30,263542400,-801380800,0000,25.4,1020.62
